Scientific Name,Matched Scientific Name,Revised.CTDB.name,Latitude - original,Longitude - original,Year - parsed,turbidity,highSST,lowSST,meanSST,waveenergy
"Acropora (Acropora) austera (Dana, 1846)",Acropora (Acropora) austera,Acropora austera,-29.454,159.111,1983,0.039703246,24.439999,19.31,21.92,
"Acropora (Acropora) austera (Dana, 1846)",Acropora (Acropora) austera,Acropora austera,-10.766,143.983,1983,0.09077215,27.96,24.68,26.46,0.016214
"Acropora (Acropora) austera (Dana, 1846)",Acropora (Acropora) austera,Acropora austera,-11.914,143.473,1983,0.12490065,28.96,24.32,26.65,0.134963
"Acropora (Acropora) austera (Dana, 1846)",Acropora (Acropora) austera,Acropora austera,-23.9,152.4,1983,0.069237836,26.939999,21.42,24.09,0.75285
"Acropora (Acropora) austera (Dana, 1846)",Acropora (Acropora) austera,Acropora austera,-11.592,144.031,1983,0.073148206,27.91,24.539999,26.4,0.187238
"Acropora (Acropora) austera (Dana, 1846)",Acropora (Acropora) austera,Acropora austera,-19.333,158.666,1983,0.03431332,27.699999,23.55,25.609999,
"Acropora (Acropora) austera (Dana, 1846)",Acropora (Acropora) austera,Acropora austera,-23.627,152.181,1983,0.05991871,26.859999,21.55,24.13,0.017618
"Acropora (Acropora) austera (Dana, 1846)",Acropora (Acropora) austera,Acropora austera,-29.454,159.111,1983,0.039703246,24.439999,19.31,21.92,
"Acropora (Acropora) austera (Dana, 1846)",Acropora (Acropora) austera,Acropora austera,-16.28,149.96,1983,0.027516393,28.46,24.42,26.47,
"Acropora (Acropora) austera (Dana, 1846)",Acropora (Acropora) austera,Acropora austera,-18.567,146.48,1983,0.09267254,28.81,22.16,25.74,0.033358
"Acropora (Acropora) austera (Dana, 1846)",Acropora (Acropora) austera,Acropora austera,-19.098,152.278,1983,0.032437537,28.08,23.34,25.65,16.488516
"Acropora (Acropora) austera (Dana, 1846)",Acropora (Acropora) austera,Acropora austera,-18.772,146.532,1983,0.11222704,28.619999,21.779999,25.599998,0.043329
"Acropora (Acropora) austera (Dana, 1846)",Acropora (Acropora) austera,Acropora austera,-23.635,152.155,1983,0.07025147,26.84,21.48,24.08,0.017618
"Acropora (Acropora) austera (Dana, 1846)",Acropora (Acropora) austera,Acropora austera,-9.867,143.167,1983,0.08475775,29.039999,25.269999,27.26,0.298591
"Acropora (Acropora) austera (Dana, 1846)",Acropora (Acropora) austera,Acropora austera,-20.966,150.083,1983,0.05858842,28.08,21.63,25.09,0.141905
"Acropora (Acropora) austera (Dana, 1846)",Acropora (Acropora) austera,Acropora austera,-23.619,152.168,1983,0.05991871,26.88,21.56,24.13,0.017618
"Acropora (Acropora) austera (Dana, 1846)",Acropora (Acropora) austera,Acropora austera,-20.951,150.087,1983,0.05858842,28.08,21.63,25.09,0.152254
"Acropora (Acropora) austera (Dana, 1846)",Acropora (Acropora) austera,Acropora austera,-29.454,159.111,1983,0.039703246,24.439999,19.31,21.92,
"Acropora (Acropora) austera (Dana, 1846)",Acropora (Acropora) austera,Acropora austera,-13.043,143.626,1983,0.07797267,28.46,23.99,26.46,0.955337
"Acropora (Acropora) austera (Dana, 1846)",Acropora (Acropora) austera,Acropora austera,-19.607,158.545,1983,0.035156228,27.5,23.199999,25.32,
"Acropora (Acropora) austera (Dana, 1846)",Acropora (Acropora) austera,Acropora austera,-13.167,143.946,1983,0.08185032,28.01,24.42,26.359999,0.082431
"Acropora (Acropora) austera (Dana, 1846)",Acropora (Acropora) austera,Acropora austera,-26.978,153.486,1983,0.054520253,26.14,20.14,23.24,0.014867
Acropora (Acropora) bushyensis,Acropora (Acropora) bushyensis,Acropora bushyensis,-20.966,150.083,1983,0.05858842,28.08,21.63,25.09,0.141905
"Acropora (Acropora) carduus (Dana, 1846)",Acropora (Acropora) carduus,Acropora carduus,-18.68,146.59,1983,0.06353092,28.609999,22.31,25.689999,0.044006
"Acropora (Acropora) carduus (Dana, 1846)",Acropora (Acropora) carduus,Acropora carduus,-18.6,146.483,1983,0.09267254,28.689999,22.09,25.699999,0.033358
"Acropora (Acropora) carduus (Dana, 1846)",Acropora (Acropora) carduus,Acropora carduus,-13.172,143.943,1983,0.08185032,28.01,24.42,26.359999,0.082431
"Acropora (Acropora) carduus (Dana, 1846)",Acropora (Acropora) carduus,Acropora carduus,-18.199,146.809,1983,0.068078116,28.349998,23.279999,25.9,0.044387
"Acropora (Acropora) carduus (Dana, 1846)",Acropora (Acropora) carduus,Acropora carduus,-18.774,146.522,1983,0.11222704,,,,0.043329
"Acropora (Acropora) carduus (Dana, 1846)",Acropora (Acropora) carduus,Acropora carduus,-11.592,144.031,1983,0.073148206,27.91,24.539999,26.4,0.187238
"Acropora (Acropora) carduus (Dana, 1846)",Acropora (Acropora) carduus,Acropora carduus,-16.6,150.283,1983,0.030781476,28.46,24.4,26.43,0.001776
