Name,Scientific.Name,locality,Latitude - processed,Longitude - processed,Coordinate Uncertainty in Metres - parsed,IMCRA Region - parsed,State - parsed,Year - parsed,coordinate Uncertainty In Meters,Data Resource ID
"Turbinaria mesenterina (Lamarck, 1816)",Turbinaria.mesenterina,"Turtle Backed Island, W side (i used pos for Yam Island, Charlie confirmed)",-9.901,142.784,700,Northeast Shelf Transition,Queensland,1979,700,dr684
"Turbinaria peltata (Esper, 1794)",Turbinaria.peltata,"Turtle Backed Island, W side (i used pos for Yam Island, Charlie confirmed)",-9.901,142.784,700,Northeast Shelf Transition,Queensland,1979,700,dr684
"Acanthastrea echinata (Dana, 1846)",Acanthastrea.echinata,"Sue Island, SW and NW sides",-10.2,142.81,2000,Northeast Shelf Transition,Queensland,1979,2000,dr684
"Acropora (Acropora) aspera (Dana, 1846)",Acropora.aspera,"Sue Island, NW corner",-10.2,142.81,300,Northeast Shelf Transition,Queensland,1983,300,dr684
"Acropora (Acropora) florida (Dana, 1846)",Acropora.florida,"Sue Island, SW and NW sides",-10.2,142.81,2000,Northeast Shelf Transition,Queensland,1983,2000,dr684
"Acropora (Acropora) formosa (Dana, 1846)",Acropora.formosa,"Sue Island, NW corner",-10.2,142.81,300,Northeast Shelf Transition,Queensland,1983,300,dr684
"Acropora (Acropora) humilis (Dana, 1846)",Acropora.humilis,"Sue Island, NW corner",-10.2,142.81,300,Northeast Shelf Transition,Queensland,1983,300,dr684
"Acropora (Acropora) loripes (Brook, 1892)",Acropora.loripes,"Sue Island, NW corner",-10.2,142.81,300,Northeast Shelf Transition,Queensland,1983,300,dr684
"Acropora (Acropora) millepora (Ehrenberg, 1834)",Acropora.millepora,"Sue Island, NW corner",-10.2,142.81,300,Northeast Shelf Transition,Queensland,1983,300,dr684
"Acropora (Acropora) nasuta (Dana, 1846)",Acropora.nasuta,"Sue Island, NW corner",-10.2,142.81,300,Northeast Shelf Transition,Queensland,1983,300,dr684
"Acropora (Acropora) nobilis (Dana, 1846)",Acropora.nobilis,"Sue Island, NW corner",-10.2,142.81,300,Northeast Shelf Transition,Queensland,1983,300,dr684
"Acropora (Acropora) pulchra (Brook, 1891)",Acropora.pulchra,"Sue Island, SW and NW sides",-10.2,142.81,2000,Northeast Shelf Transition,Queensland,1983,2000,dr684
"Acropora (Acropora) secale (Studer, 1878)",Acropora.secale,"Sue Island, SW and NW sides",-10.2,142.81,2000,Northeast Shelf Transition,Queensland,1983,2000,dr684
Acropora (Acropora) verweyi,Acropora.verweyi,"Sue Island, NW corner",-10.2,142.81,300,Northeast Shelf Transition,Queensland,1983,300,dr684
"Acropora (Isopora) brueggemanni (Brook, 1893)",Acropora.brueggemanni,"Sue Island, NW corner",-10.2,142.81,300,Northeast Shelf Transition,Queensland,1983,300,dr684
"Acropora (Isopora) palifera (Lamarck, 1816)",Acropora.palifera,"Sue Island, NW corner",-10.2,142.81,300,Northeast Shelf Transition,Queensland,1983,300,dr684
"Caulastrea curvata Wijsman-Best, 1972",Caulastrea.curvata,"Sue Island, SW and NW sides",-10.2,142.81,2000,Northeast Shelf Transition,Queensland,1976,2000,dr684
