Record ID,Scientific Name,Matched.Scientific.Name,Revised CTDB name,Taxon Rank - matched,Species - matched,locality,Latitude - original,Longitude - original,Coordinate Uncertainty in Metres - parsed,Collector,Outlier for layer,Taxon identification issue,Data Resource ID,Data Resource Name,Suspected outlier,geodetic Datum Assumed Wgs 84,Habitat incorrect for species,Homonym issues with supplied name,incomplete Collection Date,inferred Duplicate Record,Name not in national checklists,Name not recognised
2c3e0952-b0b3-471f-86b5-942f988738eb,"Acropora (Isopora) brueggemanni (Brook, 1893)",Acropora.(Isopora).brueggemanni,Isopora brueggemanni,species,Acropora (Isopora) brueggemanni,"Orpheus Island (Palm Islands), W side",-18.6,146.483,500,J. Veron,,noIssue,dr684,Scleractinia of Eastern Australia - AIMS Monograph Series - John (Charlie) Veron,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
3737d1d2-089b-4444-9662-7c9e42e6a862,"Acropora (Isopora) brueggemanni (Brook, 1893)",Acropora.(Isopora).brueggemanni,Isopora brueggemanni,species,Acropora (Isopora) brueggemanni,"Fantome Island (Palm Islands), N and NW sides",-18.659,146.511,500,J. Veron,,noIssue,dr684,Scleractinia of Eastern Australia - AIMS Monograph Series - John (Charlie) Veron,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
4aecb985-a624-41f5-835f-966273406fa2,"Acropora (Isopora) brueggemanni (Brook, 1893)",Acropora.(Isopora).brueggemanni,Isopora brueggemanni,species,Acropora (Isopora) brueggemanni,Tijou Reef S end,-13.246,143.958,1000,J. Veron,,noIssue,dr684,Scleractinia of Eastern Australia - AIMS Monograph Series - John (Charlie) Veron,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
d03e1e97-3dc3-491d-bcb5-23f4918e67bc,"Acropora (Isopora) brueggemanni (Brook, 1893)",Acropora.(Isopora).brueggemanni,Isopora brueggemanni,species,Acropora (Isopora) brueggemanni,"Falcon Island (Palm Islands), SW end",-18.772,146.532,500,J. Veron,,noIssue,dr684,Scleractinia of Eastern Australia - AIMS Monograph Series - John (Charlie) Veron,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
d6a590a3-003e-49a6-b2cf-37ce06f5adbc,"Acropora (Isopora) brueggemanni (Brook, 1893)",Acropora.(Isopora).brueggemanni,Isopora brueggemanni,species,Acropora (Isopora) brueggemanni,Great Detached Reef,-11.694,144.028,6000,J. Veron,,noIssue,dr684,Scleractinia of Eastern Australia - AIMS Monograph Series - John (Charlie) Veron,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
e32bddb3-29a3-459d-bed6-f062661d19e1,"Acropora (Isopora) brueggemanni (Brook, 1893)",Acropora.(Isopora).brueggemanni,Isopora brueggemanni,species,Acropora (Isopora) brueggemanni,Tijou Reef,-13.172,143.943,2000,J. Veron,,noIssue,dr684,Scleractinia of Eastern Australia - AIMS Monograph Series - John (Charlie) Veron,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
fcc16d59-95db-44da-a611-ac2ad9eb0817,"Acropora (Isopora) brueggemanni (Brook, 1893)",Acropora.(Isopora).brueggemanni,Isopora brueggemanni,species,Acropora (Isopora) brueggemanni,"Turtle Islands, W point of a southern island",-14.732,145.194,1500,J. Veron,,noIssue,dr684,Scleractinia of Eastern Australia - AIMS Monograph Series - John (Charlie) Veron,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
1161f4bf-bfc0-4979-a8f7-245278f3629a,"Acropora (Isopora) cuneata (Dana, 1846)",Acropora.(Isopora).cuneata,Isopora cuneata,species,Acropora (Isopora) cuneata,"Britomart Reef, S side",-18.232,146.638,3000,J. Veron,,noIssue,dr684,Scleractinia of Eastern Australia - AIMS Monograph Series - John (Charlie) Veron,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
11a5ae59-4f55-43c1-b486-e23cfb888492,"Acropora (Isopora) cuneata (Dana, 1846)",Acropora.(Isopora).cuneata,Isopora cuneata,species,Acropora (Isopora) cuneata,"Keeper Reef, NW corner",-18.75,147.266,500,J. Veron,,noIssue,dr684,Scleractinia of Eastern Australia - AIMS Monograph Series - John (Charlie) Veron,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
745780df-3abd-4338-b63b-5f607eafbff7,"Acropora (Isopora) cuneata (Dana, 1846)",Acropora.(Isopora).cuneata,Isopora cuneata,species,Acropora (Isopora) cuneata,Great Detached Reef,-11.694,144.028,6000,J. Veron,,noIssue,dr684,Scleractinia of Eastern Australia - AIMS Monograph Series - John (Charlie) Veron,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
