trait,master_species,value
substrate_attachment,Balanophyllia.teres,attached
substrate_attachment,Balanophyllia.thalassae,attached
substrate_attachment,Balanophyllia.wellsi,attached
substrate_attachment,Balanophyllia.yongei,attached
substrate_attachment,Barabattoia.amicorum,attached
substrate_attachment,Barabattoia.laddi,attached
substrate_attachment,Bathypsammia.fallosocialis,attached
substrate_attachment,Bathypsammia.tintinnabulum,attached
substrate_attachment,Blastomussa.merleti,attached
substrate_attachment,Blastomussa.wellsi,attached
substrate_attachment,Boninastrea.boninensis,attached
substrate_attachment,Bourneotrochus.stellulatus,unattached
substrate_attachment,Cantharellus.doederleini,attached
substrate_attachment,Cantharellus.jebbi,attached
substrate_attachment,Cantharellus.noumeae,attached
substrate_attachment,Caryophyllia.abyssorum,attached
substrate_attachment,Caryophyllia.alaskensis,attached
substrate_attachment,Caryophyllia.alberti,attached
substrate_attachment,Caryophyllia.ambrosiaambrosia,unattached
substrate_attachment,Caryophyllia.ambrosiacaribbeana,unattached
substrate_attachment,Caryophyllia.antarctica,attached
substrate_attachment,Caryophyllia.antillarum,attached
substrate_attachment,Caryophyllia.arnoldi,attached
substrate_attachment,Caryophyllia.atlantica,attached
substrate_attachment,Caryophyllia.barbadensis,attached
substrate_attachment,Caryophyllia.berteriana,attached
substrate_attachment,Caryophyllia.calveri,attached
substrate_attachment,Caryophyllia.capensis,attached
substrate_attachment,Caryophyllia.cornuformis,unattached
substrate_attachment,Caryophyllia.corrugata,attached
substrate_attachment,Caryophyllia.decamera,attached
substrate_attachment,Caryophyllia.diomedeae,attached
substrate_attachment,Caryophyllia.eltaninae,attached
substrate_attachment,Caryophyllia.ephyala,attached
substrate_attachment,Caryophyllia.foresti,attached
substrate_attachment,Caryophyllia.grandis,unattached
substrate_attachment,Caryophyllia.hawaiiensis,attached
substrate_attachment,Caryophyllia.horologium,attached
substrate_attachment,Caryophyllia.inornata,attached
substrate_attachment,Caryophyllia.japonica,attached
substrate_attachment,Caryophyllia.jogashimaensis,attached
substrate_attachment,Caryophyllia.lamellifera,attached
substrate_attachment,Caryophyllia.mabahithi,unattached
substrate_attachment,Caryophyllia.marmorea,attached
substrate_attachment,Caryophyllia.octopali,attached
substrate_attachment,Caryophyllia.paradoxus,attached
substrate_attachment,Caryophyllia.paucipalata,attached
substrate_attachment,Caryophyllia.pauciseptata,unattached
substrate_attachment,Caryophyllia.perculta,attached
substrate_attachment,Caryophyllia.planilamellata,both
substrate_attachment,Caryophyllia.polygona,attached
substrate_attachment,Caryophyllia.profunda,attached
substrate_attachment,Caryophyllia.quadragenaria,attached
substrate_attachment,Caryophyllia.ralphae,attached
substrate_attachment,Caryophyllia.rugosa,attached
substrate_attachment,Caryophyllia.sarsiae,attached
substrate_attachment,Caryophyllia.scillaemorpha,unattached
substrate_attachment,Caryophyllia.scobinosa,attached
substrate_attachment,Caryophyllia.seguenzae,unattached
substrate_attachment,Caryophyllia.sewelli,attached
substrate_attachment,Caryophyllia.smithii,attached
substrate_attachment,Caryophyllia.solida,attached
substrate_attachment,Caryophyllia.spinigera,unattached
substrate_attachment,Caryophyllia.squiresi,unattached
substrate_attachment,Caryophyllia.stellula,unattached
substrate_attachment,Caryophyllia.transversalis,unattached
substrate_attachment,Caryophyllia.zopyros,attached
substrate_attachment,Catalaphyllia.jardinei,attached
substrate_attachment,Caulastrea.connata,attached
substrate_attachment,Caulastrea.curvata,attached
substrate_attachment,Caulastrea.echinulata,attached
substrate_attachment,Caulastrea.furcata,attached
substrate_attachment,Caulastrea.tumida,attached
substrate_attachment,Cladocora.arbuscula,attached
substrate_attachment,Cladocora.caespitosa,attached
substrate_attachment,Cladocora.debilis,attached
substrate_attachment,Cladocora.pacifica,attached
substrate_attachment,Cladopsammia.echinata,attached
substrate_attachment,Cladopsammia.eguchii,attached
substrate_attachment,Cladopsammia.gracilis,attached
substrate_attachment,Cladopsammia.manuelensis,attached
substrate_attachment,Cladopsammia.rolandi,attached
substrate_attachment,Cladopsammia.willeyi,attached
substrate_attachment,Coeloseris.mayeri,attached
substrate_attachment,Coenocyathus.anthophyllites,attached
substrate_attachment,Coenocyathus.bowersi,attached
substrate_attachment,Coenocyathus.brooki,attached
substrate_attachment,Coenocyathus.cylindricus,attached
substrate_attachment,Coenocyathus.goreaui,attached
substrate_attachment,Coenocyathus.parvula,attached
substrate_attachment,Coenosmilia.arbuscula,attached
substrate_attachment,Coenosmilia.inordinata,attached
substrate_attachment,Colangia.immersa,attached
substrate_attachment,Colangia.moseleyi,attached
substrate_attachment,Colpophyllia.amaranthus,attached
substrate_attachment,Colpophyllia.breviserialis,attached
substrate_attachment,Colpophyllia.natans,attached
substrate_attachment,Concentrotheca.vaughani,attached
substrate_attachment,Conocyathus.zelandiae,unattached
substrate_attachment,Conotrochus.asymmetros,both
substrate_attachment,Conotrochus.brunneus,attached
substrate_attachment,Conotrochus.funicolumna,both
substrate_attachment,Coscinaraea.columna,attached
substrate_attachment,Coscinaraea.crassa,attached
substrate_attachment,Coscinaraea.exesa,attached
substrate_attachment,Coscinaraea.hahazimaensis,attached
substrate_attachment,Coscinaraea.marshae,attached
substrate_attachment,Coscinaraea.mcneilli,attached
substrate_attachment,Coscinaraea.monile,attached
substrate_attachment,Coscinaraea.wellsi,attached
substrate_attachment,Crispatotrochus.cornu,attached
substrate_attachment,Crispatotrochus.curvatus,both
